Dates,beta_1,beta_2,beta_3,beta_4,beta_5
07-mar-97,0.180845176,-0.002981129,0.169028107,-0.010948848,-0.015464998
10-mar-97,0.181617557,-0.005928742,0.168431536,-0.009067193,-0.014453518
11-mar-97,0.181955802,-0.001914309,0.170538754,-0.007937455,-0.014427016
12-mar-97,0.177592549,0.0263938,0.176293761,-0.003324437,-0.01453005
13-mar-97,0.180019088,0.035219771,0.17423348,-0.001287445,-0.013384655
14-mar-97,0.180173236,0.024643285,0.168396261,-0.005414341,-0.013752353
17-mar-97,0.17984006,0.031400075,0.164145468,-0.008955336,-0.012455576
18-mar-97,0.180227936,0.037341306,0.17314864,-0.003717126,-0.01124728
19-mar-97,0.180526341,0.046297009,0.174800245,0.00286416,-0.011375353
20-mar-97,0.182457821,0.034948205,0.180329163,0.005390521,-0.014897588
21-mar-97,0.181769739,0.006171395,0.174110881,0.004531103,-0.018697299
24-mar-97,0.178005665,0.01380141,0.167092572,0.002960822,-0.019950323
25-mar-97,0.180820213,0.002174055,0.171134968,0.005751459,-0.017651124
26-mar-97,0.180465084,-0.015160261,0.165431882,0.002668109,-0.018277483
27-mar-97,0.179102695,0.01616809,0.175619907,-0.000961724,-0.016204009
31-mar-97,0.174445644,0.048935209,0.178885557,-0.001142829,-0.015318643
01-Apr-1997,0.178316993,0.025456191,0.1713553,0.002111707,-0.015742211
02-Apr-1997,0.178831916,0.031778477,0.177294927,0.000800249,-0.012853162
03-Apr-1997,0.175339263,0.034825249,0.179996729,-5.34E-05,-0.014672813
04-Apr-1997,0.175519186,0.00296954,0.177443947,0.000455781,-0.019148542
07-Apr-1997,0.174711487,-0.005972138,0.17134261,0.0045345,-0.021472602
08-Apr-1997,0.175610135,-0.009684721,0.166607258,-0.000509805,-0.02028309
09-Apr-1997,0.176527596,-0.005172359,0.166221092,0.002895441,-0.016818751
10-Apr-1997,0.176188524,0.000402909,0.165643889,0.003286103,-0.01524578
11-Apr-1997,0.177993691,0.01020642,0.172263051,0.004238278,-0.014142445
14-Apr-1997,0.177340465,0.000485619,0.175438293,0.005158803,-0.018959975
15-Apr-1997,0.175432644,-0.010469984,0.170635225,0.005521001,-0.021348845
16-Apr-1997,0.175586728,-0.020744362,0.168956032,0.002491438,-0.022222325
17-Apr-1997,0.174229628,-0.004485031,0.170098321,-0.00093136,-0.017415054
18-Apr-1997,0.172831737,-0.002496192,0.17069951,-0.000589963,-0.017893391
21-Apr-1997,0.171292702,0.015894084,0.171845618,-0.003628492,-0.014550407
22-Apr-1997,0.169229126,0.017141479,0.165346598,-0.008910271,-0.015188838
23-Apr-1997,0.173070566,0.02081894,0.160178341,-0.011809984,-0.013454904
24-Apr-1997,0.176693428,0.017869485,0.15971729,-0.016365956,-0.009410632
25-Apr-1997,0.176757617,0.026671754,0.162262641,-0.016114748,-0.004660789
28-Apr-1997,0.173754537,0.03471645,0.165685802,-0.018376045,-0.005322524
29-Apr-1997,0.174959158,0.009890059,0.156484865,-0.018889645,-0.009914904
30-Apr-1997,0.17357747,0.018670986,0.162233014,-0.020716346,-0.00587518
01-may-97,0.173804988,0.013476007,0.159008887,-0.020647104,-0.00609913
02-may-97,0.176902078,-0.026178641,0.158393735,-0.020012052,-0.010528927
05-may-97,0.168011933,0.026004255,0.153138485,-0.019468653,-0.011033267
06-may-97,0.172694789,0.030623538,0.147877988,-0.020925213,-0.011703701
07-may-97,0.178267113,0.021004337,0.154741199,-0.010154694,-0.00984797
08-may-97,0.175701037,0.030252338,0.158286278,-0.004790788,-0.012910916
09-may-97,0.178425577,0.013803454,0.152700532,-0.002603096,-0.017660604
12-may-97,0.176720196,0.01821053,0.156155292,0.000114771,-0.021844019
